transcriptions,label
осаживание начать ой так,-1
я вот магистрали магистрали тормозной,-1
ой отказ так,-1
ёмаё так автосцепки сжать,-1
ой так магистрали тормозной тормозной,-1
хмм начать начать вот так,-1
вагон на шестьдесят восемьдесят хмм так,-1
ой вагон протянуть вагон протянуть впринципе,-1
э башмак вперёд на ой,-1
я э растянуть автосцепки,-1
хмм с башмака вперед я,-1
впринципе вот вперёд,-1
хмм пространства пространства межвагонного из а,-1
э а межвагонное,-1
башмак башмак башмак впринципе вот так,-1
хмм типа ёмаё блин башмака вот,-1
межвагонного вышел пространства из я так,-1
э магистрали так,-1
осаживание начать ой вот,-1
роспуск роспуск э так,-1
межвагонное межвагонное захожу в блин так,-1
впринципе растянуть вот,-1
начать начать аа вот,-1
ой хмм подтверждение,-1
я э протянуть вагон вагон шесть,-1
я так продолжаем,-1
ты башмака с вперед вот,-1
ты ты освежевание освежевание,-1
э автосцепки автосцепки вот,-1
ты вагон на на на э,-1
ты вот так ёмаё растянуть,-1
ты ой начать начать,-1
тормозить ой ой,-1
вагон на тридцать на ааа так,-1
э вот на восемнадцать вагон на,-1
я вот назад башмак на,-1
ты с назад башмака так,-1
ты типа вагон вот так,-1
я вперёд башмак вперёд вот так,-1
ты отпустить вот,-1
растянуть автосцепки я э,-1
зарядка ааа я,-1
ой хмм освежевание продолжаем,-1
я вот так тормозить,-1
ой хмм тише,-1
э автосцепки сжать вот,-1
я блин девятнадцать на двенадцать осадить,-1
растянуть растянуть э вот так,-1
э осадить один на осадить вот так,-1
ты вот башмака с башмака,-1
ёмаё блин освежевание ты,-1
э так на на вагон на,-1
ой начать так,-1
э прекратить так,-1
а башмак башмак назад вот,-1
сжать ты вот так,-1
я с с башмака а,-1
хмм вот освежевание продолжаем,-1
три шестьдесят протянуть протянуть хмм вот так,-1
блин значит а а башмак вот,-1
ааа начать я э,-1
на на шесть протянуть я вот так,-1
хмм э тише,-1
ой э башмака башмака с,-1
ёмаё отпустить вот,-1
блин значит продолжаем ты,-1
значит роспуск э я,-1
э ты подтверждение,-1
ааа я автосцепки сжать,-1
я подтверждение вот,-1
ой вот растянуть,-1
э башмака с башмака вот,-1
хмм подтверждение ты,-1
а остановка так,-1
три протянуть вагон пятнадцать ёмаё вот,-1
ой ой сжать сжать,-1
подтверждение ой вот так,-1
подтверждение блин вот так,-1
зарядку зарядку прекратить зарядку хмм так,-1
ой двенадцать на протянуть два так,-1
я так значит башмак,-1
э так межвагонного из пространства межвагонного,-1
вагон восемьдесят протянуть на ой вот так,-1
хмм вот так освежевание продолжаем,-1
вперёд значит вот,-1
тормозной тормозной магистрали я вот,-1
ой так тише,-1
аа растянуть автосцепки вот,-1
в в захожу межвагонное ты так,-1
э вот так отказ,-1
растянуть автосцепки э так,-1
я магистрали вот так,-1
хмм начать начать вот,-1
чёрт так вперед башмака с,-1
ой так подтверждение,-1
хмм э магистрали магистрали зарядка,-1
сжать автосцепки чёрт вот так,-1
ой ты зарядку зарядку зарядку тормозной,-1
я начать начать вот так,-1
ты зарядка так,-1
отказ э я,-1
ой хмм роспуск,-1
значит вот прекратить магистрали зарядку магистрали,-1
я зарядка зарядка зарядка вот так,-1
остановка э так,-1
автосцепки сжать хмм ты,-1
я пространство в в в вот так,-1
ёмаё так вышел межвагонного межвагонного пространства,-1
автосцепки автосцепки я вот,-1
э ой зарядку зарядку зарядку тормозной,-1
продолжаем освежевание ой вот так,-1
я так аа прекратить,-1
башмака я вот,-1
ой чёрт с вот так,-1
хмм роспуск роспуск вот так,-1
я так отпустить,-1
э хмм с с вперед,-1
блин вот так вперед вперед с,-1
э продолжаем роспуск так,-1
э остановка так,-1
хмм вот так автосцепки растянуть,-1
впринципе так с с назад,-1
захожу пространство межвагонное в ты так,-1
типа так в пространство межвагонное в,-1
ой так тормозить,-1
освежевание освежевание я ты,-1
ой вот так растянуть растянуть,-1
хмм так отпустить,-1
ой вот автосцепки автосцепки,-1
хмм тормозить вот так,-1
я ты межвагонного из пространства межвагонного,-1
я на на на вагон вот,-1
прекратить магистрали зарядку зарядку я так,-1
освежевание э вот так,-1
хмм пространство хмм,-1
начать начать а так,-1
ой осаживание начать вот,-1
ой вот так сжать автосцепки,-1
башмак назад на аа вот,-1
вперёд на на хмм так,-1
ты так тормозить,-1
ты на башмак назад вот,-1
продолжаем продолжаем короче так,-1
сжать автосцепки ёмаё вот,-1
начать осаживание я вот,-1
э так ёмаё вагон,-1
э хмм на вагон семьдесят шестнадцать,-1
ты я отказ,-1
протянуть вагон тридцать вагон а я,-1
впринципе так отказ,-1
назад с с значит так,-1
тише хмм вот так,-1
значит так вагон,-1
вышел межвагонного пространства вышел хмм э,-1
я тише так,-1
ты так остановка,-1
аа отпустить вот,-1
хмм осаживание осаживание вот,-1
роспуск продолжаем ой вот так,-1
э так впринципе на,-1
ой отмена вот так,-1
э башмака башмака с так,-1
автосцепки автосцепки аа вот так,-1
ой на вагон на пять я,-1
я вот тише,-1
аа хмм назад назад назад,-1
ты зарядку зарядку прекратить зарядку блин,-1
тише э так,-1
я подтверждение так,-1
э вот магистрали,-1
ты вот так растянуть автосцепки,-1
ты вот так магистрали зарядку прекратить прекратить,-1
типа вот так зарядку прекратить тормозной магистрали,-1
хмм прекратить тормозной тормозной прекратить вот,-1
ты отцепка вот,-1
я на башмак назад ааа,-1
ты башмак башмак назад вот,-1
э вот так остановка,-1
ты вот пространства из из из,-1
ты вот освежевание продолжаем,-1
я начать осаживание я,-1
начать осаживание ой вот,-1
